Year,Region,Sex,Data,age0,age1,age2,age3,age4,age5,age6,age7,age8,age9,age10,age11,age12,age13,age14,age15,age16,age17,age18,age19,age20,age21,age22,age23,age24,age25,age26,age27,age28,age29,age30,age31,age32,age33,age34,age35,age36,age37,age38,age39,age40,age41,age42,age43,age44,age45,age46,age47,age48,age49,age50,age51,age52,age53,age54,age55,age56,age57,age58,age59,age60,age61,age62,age63,age64,age65,age66,age67,age68,age69,age70,age71,age72,age73,age74,age75,age76,age77,age78,age79,age80,age81,age82,age83,age84,age85,age86,age87,age88,age89,age90,age91,age92,age93,age94,age95,age96,age97,age98,age99,age100
2008,CompleteOnly,females,Ex,193010.5,183853.5,175045,168741,165525,158093.5,151790.5,151236.5,154414.5,160765,169877,180376,190842.5,197910,207124.5,220721,235568,249791,261599.5,275792.5,287499,300168.5,304877.5,303686,308934,297039,280154,280008,276422,269658.5,266561.5,270093,275486.5,271752,266324.5,267867,270335,266971.5,257041.5,250879.5,252426.5,255169,257286,262700,279270,292590.5,300743,310820.5,310698,303863,297771,292698,284418,280539.5,272209,266820,273253.5,271964,278109,262780.5,228385.5,211227,172031,154442,161583,172406.5,218655.5,246888,259854.5,275763,283067,256449,207515.5,162543.5,128584,135019,150139.5,165475.5,167975,157112.5,149545.5,134644,120948,106163,88140,70619.5,56023.5,41747,30795,24532.5,16625.5,10697.5,9287.5,9245,7164.5,5890,4139.5,1931.5,1200,411,1035.5
2009,CompleteOnly,females,Ex,200688,192743.5,183761,174988,168682.5,165496,158074.5,151752,151214.5,154395,160724,169835.5,180343.5,190795.5,197862.5,207057,220767,236952.5,250425.5,261738.5,275739,287284.5,299432.5,304313,303402,308771.5,296896,279979.5,279795.5,276138,269306,266165,269637.5,274991,271319.5,265828.5,267339.5,269779,266392,256480,250292.5,251747.5,254402,256516,261889.5,278301.5,291540,299617,309585.5,309394.5,302391.5,296283.5,291142.5,282789.5,278824,270390.5,264739,270977.5,269630.5,275384.5,259985.5,225801.5,208707,169705,152202,158871.5,169313.5,214522,241809,253797,268560.5,274826.5,248128.5,199909.5,155763,122792.5,128285,141700.5,155385,156276,144963,136584,121712.5,108152,93693,76539.5,60263.5,47218,34766.5,25086.5,19334,12952,8148.5,6751.5,6597.5,4944.5,4210,2999,1235.5,805.5,839.5
2010,CompleteOnly,females,Ex,198974,200478.5,192664,183715.5,174949.5,168659.5,165503.5,158071,151740,151203,154363.5,160691,169813.5,180294.5,190762.5,197832.5,207164,222135,237504.5,250516,261701,275507.5,286544.5,298849.5,304105.5,303303,308710.5,296756.5,279802.5,279573,275824,268990,265775.5,269249,274615.5,270903.5,265349,266885.5,269258.5,265880.5,255941.5,249691.5,251104.5,253729.5,255841,261099,277430.5,290555,298580.5,308449,308084.5,301086,294894.5,289601,281260.5,277159.5,268534.5,262808,268824,267229,272647.5,257232,223235,206042,167407,149793,156050,166068.5,210133.5,236419.5,247360.5,261007.5,266060.5,239203.5,191774,148704,116672.5,121172.5,132891,144928,144284.5,132362,123587,108850.5,95531,81539.5,65412,50601,39005.5,28500.5,19948.5,14811,9872,6029.5,4715,4549,3259,2994,2208,843.5,1035.5
2011,CompleteOnly,females,Ex,197396,198756.5,200413,192616.5,183698.5,174935,168664,165485,158052,151730.5,151182,154354,160679.5,169793,180263,190730.5,197978.5,208098.5,222593.5,237657,250486,261501,274877.5,286027.5,298686,304090.5,303337,308643.5,296616,279657.5,279343,275562,268648.5,265460.5,268928,274234,270486.5,264921,266389.5,268758,265359,255388.5,249133,250493,253091,255198,260380,276557.5,289636,297564,307298.5,306854.5,299756,293486,288097.5,279748.5,275475.5,266711.5,260817.5,266626,264772.5,269939.5,254317,220467,203344,164921,147313.5,153137,162676.5,205589.5,230752,240634.5,253035.5,256958.5,230018.5,183334.5,141503,110345.5,113785.5,123987.5,134075.5,132206,119873.5,110946,96405,83403.5,70095.5,55149.5,41767.5,31723.5,23045,15688,11123.5,7433,4375,3139.5,3054,2060,2221,1750.5,1245
2012,CompleteOnly,females,Ex,201890,197186,198713.5,200379.5,192614,183684.5,174924,168646,165487,158043,151723,151185.5,154347,160673.5,169767.5,180233,190815.5,198886.5,209421,223298,238180,250809,261416,274850,286229.5,298938,304332.5,303481,308644.5,296588,279570.5,279191.5,275354,268400.5,265211.5,268577,273911,270083.5,264497,265946.5,268269.5,264840.5,254863,248596,249888.5,252473.5,254511.5,259643.5,275735.5,288711,296523.5,306097,305528.5,298427.5,292031.5,286578,278108,273631,264733.5,258765,264289,262230,266994,251260,217661.5,200354.5,162442,144769,150157.5,159203,200866,224904.5,233705.5,244794.5,247666.5,220501.5,174852.5,134061,103953.5,106213.5,114961.5,123358.5,120321.5,107940.5,98702.5,84603,72171,59634.5,46065,34002,25556,18448,12074.5,8211.5,5546,3120,2052,2043.5,1349,1764,2296.5
2013,CompleteOnly,females,Ex,202554,201706,197164.5,198708,200394.5,192617.5,183674.5,174934.5,168662,165491.5,158039.5,151717.5,151198.5,154335,160647.5,169757,180307,192167.5,200709.5,210377,224010.5,238570,250687.5,261394.5,275046,286447,299160.5,304484,303553.5,308665.5,296518.5,279492,279072.5,275115.5,268152.5,264919,268287,273527,269681.5,264057.5,265475,267781.5,264316,254287,247993,249235,251778.5,253774.5,258861.5,274842.5,287695.5,295409,304796.5,304181,296978,290454.5,284906,276261,271639,262641,256496,261731,259440.5,263854,248060.5,214477,197296,159794,142066.5,146952.5,155431,195808.5,218586.5,226111,236188.5,237662,210427.5,165842,126284.5,97198.5,98502,105752,112499.5,108455.5,95973,86757.5,73308,61544.5,50196,37710.5,27182,20073.5,14438,9263,5903,4052,2211.5,1364,1393.5,942,3277
2014,CompleteOnly,females,Ex,200858,202436.5,201708.5,197182.5,198758,200443.5,192636,183718.5,174959.5,168694.5,165507.5,158046.5,151737,151215,154315.5,160657.5,169872,181968,193744.5,201538,210868.5,224194.5,238222,250456.5,261356,275132,286541.5,299282.5,304607.5,303606.5,308660.5,296547.5,279446.5,278909.5,274902,267904.5,264634,267930.5,273177.5,269267,263594,265006,267241,263706,253653,247360,248559.5,251002,253012.5,258021.5,273856,286635.5,294246,303450,302787.5,295421.5,288870.5,283088.5,274299,269533,260364,254063,258999,256441.5,260538,244509.5,211187,193934,156812,139092,143400,151353,190264,211718.5,218178.5,226726.5,226836,199659.5,156279,118115.5,89966,90543,96191,101331.5,96541.5,84143.5,75071.5,62327.5,51709.5,41227.5,30166.5,21148.5,15390.5,11220,6933,4110.5,2937.5,1620.5,880,1002,3422
2015,CompleteOnly,females,Ex,194665.5,200729.5,202434.5,201713.5,197225,198798,200466,192684.5,183753,174996,168717,165528,158057.5,151751.5,151208.5,154348.5,160810.5,171468,183385,194585,202150,211232.5,224104,238131.5,250474.5,261517.5,275286,286711,299471.5,304687,303734,308700,296522,279339.5,278769,274689.5,267628,264331,267631,272792,268825,263118.5,264469,266645.5,263072,253054,246697.5,247784,250291.5,252205.5,257116.5,272835.5,285562,292974.5,302122,301216.5,293846.5,287142.5,281072.5,272243.5,267288,257932.5,251455.5,255985.5,253207.5,256865.5,240682,207520,190171.5,153590,135794,139569.5,146953.5,184283,204278.5,209520.5,216459.5,215257,188174,146105.5,109288.5,82429,82227.5,86343.5,90226,84739,72452,63763,52020.5,42362.5,33143.5,23553,15899,11426.5,8563,5192.5,2769,2184,1178,620,3676
2016,CompleteOnly,females,Ex,182820.5,194470.5,200679,202416,201700,197227,198805,200475.5,192697.5,183770.5,175008,168721.5,165522,158050.5,151750,151222.5,154447,161517,172170.5,183903,194962,202353.5,211215.5,224017.5,238099,250552.5,261605.5,275328,286782,299478.5,304720,303647.5,308580,296339,279155,278527,274390,267297.5,263928,267225.5,272341,268314,262572.5,263842,266003,262400,252364,245943,247018,249418,251303,256120,271755.5,284308,291588.5,300558.5,299549.5,292077.5,285079.5,278899.5,269989,264780,255278,248516,252739.5,249672.5,252837,236541,203573.5,186221.5,150076.5,132223,135441.5,142160.5,177765.5,196209.5,200103.5,205492.5,202928.5,176079,135487.5,100180.5,74938,73878,76718,79315,73247,61413,53264.5,42623,34002.5,26167,17924,11513,8345,6590.5,3901.5,1882.5,1629.5,957,3668
2017,CompleteOnly,females,Ex,171374,182740,194481,200723.5,202466.5,201765.5,197279,198857,200530,192749,183840,175061.5,168741.5,165561,158103.5,151810.5,151328.5,155078.5,162553.5,173009.5,184481.5,195272,202498,211285.5,224102,238270,250750,261755.5,275528,286988.5,299643.5,304835,303725,308585,296357.5,279089.5,278410,274192,267020.5,263657.5,266875.5,271967.5,267867.5,262052.5,263305,265407,261794.5,251708,245213,246216.5,248551,250364.5,255136.5,270615,283026,290189.5,299047.5,297826.5,290255.5,283053,276828.5,267730,262306.5,252609,245660,249533,246085.5,248716,232260,199460.5,182102.5,146402.5,128541,131050,137093,170782,187917,190308,194112.5,190355,163630.5,124700.5,91245.5,67484.5,65706,67373.5,68863.5,62364.5,51326.5,43907,34217,26868,20349.5,13337.5,8224,5961,5138.5,3026,1302,1331,4051
2018,CompleteOnly,females,Ex,157926,171422.5,182790,194534,200791.5,202552.5,201833.5,197357,198913.5,200594,192834.5,183893,175110.5,168789.5,165641,158225.5,151968.5,152531.5,156645,163802.5,173798.5,184801.5,195407,202507,211255,224291.5,238512.5,251014.5,262019.5,275804,287248.5,299836.5,304967.5,303780.5,308652,296321.5,279000.5,278230.5,273958,266754,263323.5,266524,271537.5,267361,261523,262750.5,264783,261097,250982.5,244456,245353,247604.5,249395,254084.5,269412,281706,288738,297430.5,296114,288321.5,280966.5,274607,265307.5,259670,249768,242650,246080.5,242246.5,244302,227605.5,195123.5,177671.5,142513.5,124529,126452,131773.5,163616,179034,180097.5,182256,176865.5,150805.5,113669,82248,59958.5,57808.5,58385,58852.5,52312.5,42070.5,35352.5,26956.5,20862,15521.5,9753,5645,4375.5,4135,2450,985,4828
2019,CompleteOnly,females,Ex,145292,157989,171430.5,182781.5,194542,200797.5,202588,201861,197382,198917,200618,192839.5,183924.5,175115.5,168868,165738.5,158339.5,153249.5,153923,157957,164509,173947,184792.5,195291.5,202330,211335.5,224368.5,238635.5,251137.5,262121,275907.5,287288.5,299809,304894.5,303689.5,308484.5,296071,278750,277865,273535,266289.5,262843.5,265967.5,270908,266733,260868,262015.5,263989.5,260230.5,250146.5,243543.5,244389,246550,248290,252896.5,268076,280150.5,287105.5,295631.5,294041,285970.5,278516,271980,262542.5,256557,246539.5,239138,242200,237922.5,239370,222566.5,190291.5,172801.5,138189,120298,121523,126017,155778,169599.5,169165,169397,163021.5,137502,102657,73192,52699,50037.5,49750,49480.5,43039.5,33610,28010.5,20780.5,15834,11733,7054.5,3932.5,3319.5,3440,2131.5,5226
2020,CompleteOnly,females,Ex,136533,145366.5,158001,171441.5,182782,194542,200826.5,202603.5,201887.5,197386.5,198934,200635,192864,183929,175190.5,168943,165786.5,159453.5,154295,154937,158541,164482.5,173834.5,184603,195075,202342,211360,224397.5,238703,251209,262165.5,275944,287229.5,299733,304756.5,303539.5,308215,295834.5,278406,277461.5,273035,265755.5,262304,265326.5,270278.5,266056.5,260114,261178.5,263052.5,259309.5,249151,242532.5,243269.5,245382.5,247080,251564.5,266498.5,278366,285217,293416.5,291488.5,283292.5,275643.5,268915.5,259273,253058,242731,235229,237618.5,232893.5,233778,216620,184866,167215,133341.5,115573.5,115966,119664.5,147247.5,159223.5,157189,155845,148215.5,123784,91361,63931.5,45316.5,42486,41449.5,40823,34695.5,26263,21683.5,15645,11908.5,8882,5119.5,2863.5,2693,3035.5,6724.5
2021,CompleteOnly,females,Ex,129471.5,136711.5,145391.5,158032,171443.5,182805,194562.5,200854.5,202616.5,201904.5,197417.5,198940,200658,192877,183981.5,175244,168969.5,166728.5,160209,155020.5,155452.5,158474.5,164375,173630.5,184387.5,195015,202370.5,211454.5,224435.5,238766.5,251250.5,262184,275851,287112,299541.5,304560,303267,307857.5,295434,277992.5,276937.5,272450.5,265145.5,261641.5,264610.5,269501.5,265166,259165.5,260144.5,261959.5,258103,247961,241281,241925.5,243916.5,245513.5,249809,264476.5,276086.5,282613.5,290444,288159,279760.5,271758.5,264742.5,255009,248389,237850.5,229938.5,231540,226311,226368,209049,177679,160049.5,127106,109681,109130,112067.5,136946,146762.5,143288,140089.5,131708.5,108575.5,78791.5,54222.5,37645,34949,33345,32672.5,26854,19684,16095,11406.5,8748.5,6702,3858,2252,2281.5,9046.5
