year,coo_id,coo_name,coo,coo_iso,coa_id,coa_name,coa,coa_iso,refugees,asylum_seekers,returned_refugees,idps,returned_idps,stateless,ooc,oip,hst
2022,200,Ukraine,UKR,UKR,122,Rep. of Moldova,MDA,MDA,98910,3194,16000,0,0,0,0,NA,0
2022,200,Ukraine,UKR,UKR,124,Mexico,MEX,MEX,31,149,0,0,0,0,17779,NA,0
2022,200,Ukraine,UKR,UKR,133,Montenegro,MNE,MNE,32346,5,0,0,0,0,0,NA,0
2022,200,Ukraine,UKR,UKR,132,Malta,MTA,MLT,1765,54,0,0,0,0,0,NA,0
2022,200,Ukraine,UKR,UKR,137,Nepal,NEP,NPL,0,5,0,0,0,0,0,NA,0
2022,200,Ukraine,UKR,UKR,138,Netherlands (Kingdom of the),NET,NLD,102643,1059,7000,0,0,0,0,NA,0
2022,200,Ukraine,UKR,UKR,141,Nigeria,NIG,NGA,0,5,0,0,0,0,0,NA,0
2022,200,Ukraine,UKR,UKR,143,Norway,NOR,NOR,33243,10,0,0,0,0,0,NA,0
2022,200,Ukraine,UKR,UKR,145,New Zealand,NZL,NZL,5,17,0,0,0,0,0,NA,0
2022,200,Ukraine,UKR,UKR,148,Panama,PAN,PAN,11,10,0,0,0,0,0,NA,0
2022,200,Ukraine,UKR,UKR,149,Paraguay,PAR,PRY,9,0,0,0,0,0,0,NA,0
2022,200,Ukraine,UKR,UKR,150,Peru,PER,PER,29,7,0,0,0,0,0,NA,0
2022,200,Ukraine,UKR,UKR,151,Philippines,PHI,PHL,0,14,0,0,0,0,0,NA,0
2022,200,Ukraine,UKR,UKR,154,Poland,POL,POL,958147,372,285000,0,0,0,0,NA,0
2022,200,Ukraine,UKR,UKR,155,Portugal,POR,PRT,44960,29,6000,0,0,0,0,NA,0
2022,200,Ukraine,UKR,UKR,158,Romania,ROM,ROU,100086,42,26000,0,0,0,0,NA,0
2022,200,Ukraine,UKR,UKR,160,Russian Federation,RUS,RUS,1275315,610,0,0,0,0,0,NA,0
2022,200,Ukraine,UKR,UKR,173,Spain,SPA,ESP,159194,1515,18000,0,0,0,0,NA,0
2022,200,Ukraine,UKR,UKR,164,Serbia and Kosovo: S/RES/1244 (1999),SRB,SRB,1108,0,0,0,0,0,0,NA,0
2022,200,Ukraine,UKR,UKR,180,Slovakia,SVK,SVK,94858,0,13000,0,0,0,0,NA,0
2022,200,Ukraine,UKR,UKR,181,Slovenia,SVN,SVN,7748,16,2000,0,0,0,0,NA,0
2022,200,Ukraine,UKR,UKR,183,Sweden,SWE,SWE,46857,989,3000,0,0,0,0,NA,0
2022,200,Ukraine,UKR,UKR,184,Switzerland,SWI,CHE,60162,109,5000,0,0,0,0,NA,0
